left_eye_left_side_white,left_eye_right_side_white,right_eye_left_side_white,right_eye_right_side_white,left_ratio,right_ratio,eye_ratio
3,51,24,64,0.06,0.06,0.06
6,29,25,50,0.21,0.21,0.21
2,19,9,23,0.11,0.11,0.11
2,32,15,36,0.06,0.06,0.06
1,35,19,48,0.03,0.03,0.03
2,38,20,47,0.05,0.05,0.05
2,42,24,51,0.05,0.05,0.05
4,39,22,51,0.1,0.1,0.1
2,44,26,66,0.05,0.05,0.05
2,46,18,49,0.04,0.04,0.04
2,47,24,52,0.04,0.04,0.04
4,47,25,55,0.09,0.09,0.09
2,49,23,56,0.04,0.04,0.04
3,45,26,56,0.07,0.07,0.07
6,60,14,64,0.1,0.1,0.1
2,63,7,53,0.03,0.03,0.03
5,65,9,64,0.08,0.08,0.08
5,70,12,51,0.07,0.07,0.07
4,63,8,50,0.06,0.06,0.06
6,66,8,54,0.09,0.09,0.09
5,64,12,54,0.08,0.08,0.08
6,46,12,53,0.13,0.13,0.13
1,24,19,37,0.04,0.04,0.04
2,29,22,42,0.07,0.07,0.07
3,28,23,36,0.11,0.11,0.11
1,32,20,47,0.03,0.03,0.03
2,35,29,45,0.06,0.06,0.06
5,34,33,51,0.15,0.15,0.15
4,33,38,39,0.12,0.12,0.12
2,33,38,46,0.06,0.06,0.06
3,29,25,41,0.1,0.1,0.1
8,27,32,39,0.3,0.3,0.3
5,34,29,43,0.15,0.15,0.15
7,31,29,44,0.23,0.23,0.23
5,31,29,49,0.16,0.16,0.16
8,32,33,43,0.25,0.25,0.25
5,38,41,53,0.13,0.13,0.13
6,34,29,51,0.18,0.18,0.18
6,34,32,39,0.18,0.18,0.18
1,4,1,24,0.25,0.25,0.25
1,20,24,31,0.05,0.05,0.05
4,26,29,36,0.15,0.15,0.15
2,27,26,34,0.07,0.07,0.07
3,28,31,35,0.11,0.11,0.11
6,29,30,46,0.21,0.21,0.21
6,33,34,52,0.18,0.18,0.18
7,31,36,51,0.23,0.23,0.23
9,32,39,52,0.28,0.28,0.28
14,33,30,43,0.42,0.42,0.42
7,37,36,46,0.19,0.19,0.19
16,31,33,46,0.52,0.52,0.52
2,23,17,42,0.09,0.09,0.09
3,15,5,8,0.2,0.2,0.2
3,23,16,26,0.13,0.13,0.13
5,24,16,35,0.21,0.21,0.21
6,27,20,37,0.22,0.22,0.22
5,24,25,43,0.21,0.21,0.21
5,26,28,45,0.19,0.19,0.19
1,30,28,37,0.03,0.03,0.03
3,28,30,43,0.11,0.11,0.11
10,30,31,34,0.33,0.33,0.33
9,33,26,45,0.27,0.27,0.27
5,28,29,41,0.18,0.18,0.18
12,29,33,44,0.41,0.41,0.41
5,34,29,39,0.15,0.15,0.15
5,33,32,42,0.15,0.15,0.15
3,35,35,40,0.09,0.09,0.09
5,33,32,39,0.15,0.15,0.15
3,34,29,53,0.09,0.09,0.09
8,34,30,48,0.24,0.24,0.24
7,36,30,47,0.19,0.19,0.19
10,37,34,43,0.27,0.27,0.27
29,42,43,56,0.69,0.69,0.69
45,55,52,91,0.82,0.82,0.82
17,29,42,54,0.59,0.59,0.59
29,52,53,76,0.56,0.56,0.56
19,33,42,54,0.58,0.58,0.58
20,51,44,73,0.39,0.39,0.39
30,47,57,67,0.64,0.64,0.64
25,54,43,68,0.46,0.46,0.46
11,34,39,45,0.32,0.32,0.32
41,56,56,95,0.73,0.73,0.73
17,44,45,54,0.39,0.39,0.39
11,48,47,62,0.23,0.23,0.23
18,40,50,55,0.45,0.45,0.45
19,44,44,50,0.43,0.43,0.43
9,39,45,52,0.23,0.23,0.23
13,35,42,60,0.37,0.37,0.37
10,38,41,48,0.26,0.26,0.26
10,38,37,50,0.26,0.26,0.26
4,45,29,56,0.09,0.09,0.09
9,47,23,46,0.19,0.19,0.19
8,50,23,47,0.16,0.16,0.16
4,55,25,58,0.07,0.07,0.07
3,56,24,60,0.05,0.05,0.05
3,53,27,52,0.06,0.06,0.06
3,49,22,67,0.06,0.06,0.06
5,48,29,61,0.1,0.1,0.1
4,51,32,48,0.08,0.08,0.08
5,48,28,47,0.1,0.1,0.1
8,44,27,47,0.18,0.18,0.18
6,47,23,45,0.13,0.13,0.13
7,52,23,39,0.13,0.13,0.13
3,49,24,40,0.06,0.06,0.06
9,47,25,52,0.19,0.19,0.19
6,44,25,64,0.14,0.14,0.14
10,39,23,60,0.26,0.26,0.26
6,29,19,34,0.21,0.21,0.21
5,37,17,75,0.14,0.14,0.14
7,51,17,72,0.14,0.14,0.14
3,24,9,27,0.12,0.12,0.12
2,45,10,82,0.04,0.04,0.04
4,39,2,88,0.1,0.1,0.1
6,40,5,82,0.15,0.15,0.15
5,37,8,68,0.14,0.14,0.14
4,36,7,71,0.11,0.11,0.11
5,42,2,76,0.12,0.12,0.12
6,47,2,62,0.13,0.13,0.13
7,42,2,60,0.17,0.17,0.17
3,39,6,18,0.08,0.08,0.08
9,34,13,11,0.26,0.26,0.26
10,28,20,18,0.36,0.36,0.36
4,29,17,10,0.14,0.14,0.14
7,33,15,14,0.21,0.21,0.21
15,39,27,9,0.38,0.38,0.38
6,51,17,58,0.12,0.12,0.12
5,24,8,23,0.21,0.21,0.21
4,23,10,19,0.17,0.17,0.17
4,21,11,18,0.19,0.19,0.19
6,32,11,29,0.19,0.19,0.19
3,57,16,53,0.05,0.05,0.05
8,64,17,66,0.12,0.12,0.12
6,66,15,55,0.09,0.09,0.09
6,56,24,57,0.11,0.11,0.11
6,57,27,63,0.11,0.11,0.11
6,64,27,55,0.09,0.09,0.09
6,66,28,55,0.09,0.09,0.09
12,63,25,63,0.19,0.19,0.19
4,65,27,67,0.06,0.06,0.06
4,61,24,47,0.07,0.07,0.07
5,82,23,56,0.06,0.06,0.06
7,77,24,61,0.09,0.09,0.09
11,71,24,60,0.15,0.15,0.15
9,76,25,70,0.12,0.12,0.12
7,72,25,58,0.1,0.1,0.1
8,73,25,60,0.11,0.11,0.11
11,72,27,57,0.15,0.15,0.15
12,76,32,72,0.16,0.16,0.16
9,77,25,62,0.12,0.12,0.12
6,71,21,63,0.08,0.08,0.08
11,56,21,53,0.2,0.2,0.2
8,57,32,44,0.14,0.14,0.14
10,35,31,48,0.29,0.29,0.29
